Season,Home Team,Away Team,Score,Month,Year,WeekOfYear,TotalShotsPerHomeTeam,TotalSoTPerHomeTeam,TotalPassesPerHomeTeam,TotalAccurPerHomeTeam,TotalInaccurPerHomeTeam,TotalShotsPerAwayTeam,TotalSoTPerAwayTeam,TotalPassesPerAwayTeam,TotalAccurPerAwayTeam,TotalInaccurPerAwayTeam,ShotsHomeAway_diff,SoTHomeAway_diff,TotalShotsPerMatch,TotalSoTPerMatch,TotalPassesPerMatch,TotalAccurPerMatch,TotalInaccurPerMatch,AccurPassesHome,AccurPassesAway,AccurPassesMatch,ShotsPerHalf1Home,ShotsPerHalf2Home,SoTPerHalf1Home,SoTPerHalf2Home,PassesPerHalf1Home,PassesPerHalf2Home,AccurPerHalf1Home,AccurPerHalf2Home,InaccurPerHalf1Home,InaccurPerHalf2Home,AccurPassesPerHalf1Home,AccurPassesPerHalf2Home,ShotsPerHalf1Away,ShotsPerHalf2Away,SoTPerHalf1Away,SoTPerHalf2Away,PassesPerHalf1Away,PassesPerHalf2Away,AccurPerHalf1Away,AccurPerHalf2Away,InaccurPerHalf1Away,InaccurPerHalf2Away,AccurPassesPerHalf1Away,AccurPassesPerHalf2Away,ShotsHalf1_diff,ShotsHalf2_diff,SoTHalf1_diff,SoTHalf2_diff
1,Cosmos Redshift 7,Andromeda,Draw,8,2016,241,8.0,1.0,611.0,512.0,99.0,4.0,2.0,236.0,153.0,83.0,4.0,-1.0,12.0,3.0,847.0,665.0,182.0,0.838,0.6484,0.785,2.0,6.0,1.0,0.0,300.0,311.0,258.0,254.0,42.0,57.0,0.86,0.817,3.0,1.0,1.0,1.0,125.0,111.0,86.0,67.0,39.0,44.0,0.688,0.6035,-1.0,5.0,0.0,-1.0
1,Eye of Sauron,Andromeda,Draw,1,2017,19,14.0,4.0,571.0,462.0,109.0,12.0,5.0,406.0,299.0,107.0,2.0,-1.0,26.0,9.0,977.0,761.0,216.0,0.809,0.7363,0.779,7.0,7.0,2.0,2.0,264.0,307.0,205.0,257.0,59.0,50.0,0.7764,0.837,4.0,8.0,1.0,4.0,206.0,200.0,153.0,146.0,53.0,54.0,0.7427,0.73,3.0,-1.0,1.0,-2.0
1,Medusa Merger,Andromeda,Home Win,8,2017,236,14.0,4.0,629.0,513.0,116.0,8.0,0.0,385.0,287.0,98.0,6.0,4.0,22.0,4.0,1014.0,800.0,214.0,0.8154,0.7456,0.789,10.0,4.0,3.0,1.0,315.0,314.0,252.0,261.0,63.0,53.0,0.8,0.831,3.0,5.0,0.0,0.0,185.0,200.0,134.0,153.0,51.0,47.0,0.724,0.765,7.0,-1.0,3.0,1.0
1,Milky Way,Andromeda,Draw,11,2016,310,15.0,2.0,532.0,438.0,94.0,11.0,4.0,439.0,350.0,89.0,4.0,-2.0,26.0,6.0,971.0,788.0,183.0,0.823,0.7974,0.8115,9.0,6.0,1.0,1.0,268.0,264.0,221.0,217.0,47.0,47.0,0.8247,0.822,5.0,6.0,0.0,4.0,245.0,194.0,199.0,151.0,46.0,43.0,0.812,0.7783,4.0,0.0,1.0,-3.0
2,Antennae,Andromeda,Away win,12,2017,350,0.0,0.0,896.0,750.0,146.0,18.0,6.0,826.0,660.0,166.0,-18.0,-6.0,18.0,6.0,1722.0,1410.0,312.0,0.837,0.799,0.819,0.0,0.0,0.0,0.0,490.0,406.0,424.0,326.0,66.0,80.0,0.865,0.8027,12.0,6.0,4.0,2.0,480.0,346.0,398.0,262.0,82.0,84.0,0.829,0.7573,-12.0,-6.0,-4.0,-2.0
2,Andromeda,Antennae,Away win,5,2018,121,7.0,1.0,513.0,420.0,93.0,8.0,1.0,363.0,269.0,94.0,-1.0,0.0,15.0,2.0,876.0,689.0,187.0,0.819,0.741,0.7866,1.0,6.0,0.0,1.0,198.0,315.0,151.0,269.0,47.0,46.0,0.7627,0.854,5.0,3.0,1.0,0.0,246.0,117.0,202.0,67.0,44.0,50.0,0.8213,0.5728,-4.0,3.0,-1.0,1.0
2,Andromeda,Backward,Draw,3,2018,62,6.0,0.0,485.0,394.0,91.0,12.0,1.0,298.0,216.0,82.0,-6.0,-1.0,18.0,1.0,783.0,610.0,173.0,0.8125,0.7246,0.7793,6.0,0.0,0.0,0.0,212.0,273.0,166.0,228.0,46.0,45.0,0.783,0.835,6.0,6.0,1.0,0.0,166.0,132.0,127.0,89.0,39.0,43.0,0.765,0.6743,0.0,-6.0,-1.0,0.0
2,Andromeda,Sculptor,Draw,4,2018,101,15.0,2.0,478.0,400.0,78.0,8.0,2.0,370.0,300.0,70.0,7.0,0.0,23.0,4.0,848.0,700.0,148.0,0.837,0.811,0.8257,8.0,7.0,2.0,0.0,274.0,204.0,242.0,158.0,32.0,46.0,0.8833,0.7744,3.0,5.0,0.0,2.0,205.0,165.0,176.0,124.0,29.0,41.0,0.8584,0.7515,5.0,2.0,2.0,-2.0
2,Andromeda,Cartwheel,Draw,3,2018,79,11.0,4.0,479.0,398.0,81.0,9.0,1.0,467.0,388.0,79.0,2.0,3.0,20.0,5.0,946.0,786.0,160.0,0.831,0.831,0.831,4.0,7.0,1.0,3.0,250.0,229.0,208.0,190.0,42.0,39.0,0.832,0.8296,5.0,4.0,1.0,0.0,206.0,261.0,169.0,219.0,37.0,42.0,0.8203,0.839,-1.0,3.0,0.0,3.0
2,Andromeda,Sunflower,Home Win,5,2018,139,12.0,0.0,424.0,336.0,88.0,7.0,2.0,472.0,384.0,88.0,5.0,-2.0,19.0,2.0,896.0,720.0,176.0,0.7925,0.8135,0.8037,5.0,7.0,0.0,0.0,246.0,178.0,206.0,130.0,40.0,48.0,0.8374,0.7305,1.0,6.0,0.0,2.0,218.0,254.0,177.0,207.0,41.0,47.0,0.812,0.815,4.0,1.0,0.0,-2.0
2,Andromeda,Comet,Home Win,1,2018,30,8.0,3.0,510.0,392.0,118.0,16.0,6.0,489.0,369.0,120.0,-8.0,-3.0,24.0,9.0,999.0,761.0,238.0,0.7686,0.7544,0.7617,4.0,4.0,0.0,3.0,279.0,231.0,222.0,170.0,57.0,61.0,0.796,0.736,8.0,8.0,4.0,2.0,278.0,211.0,223.0,146.0,55.0,65.0,0.8022,0.692,-4.0,-4.0,-4.0,1.0
2,Andromeda,Cosmos Redshift 7,Home Win,2,2018,33,7.0,1.0,294.0,203.0,91.0,10.0,3.0,578.0,477.0,101.0,-3.0,-2.0,17.0,4.0,872.0,680.0,192.0,0.6904,0.825,0.78,3.0,4.0,1.0,0.0,161.0,133.0,125.0,78.0,36.0,55.0,0.7764,0.5864,3.0,7.0,2.0,1.0,290.0,288.0,245.0,232.0,45.0,56.0,0.8447,0.8057,0.0,-3.0,-1.0,-1.0
2,Andromeda,Medusa Merger,Draw,12,2017,353,8.0,0.0,405.0,315.0,90.0,4.0,1.0,433.0,353.0,80.0,4.0,-1.0,12.0,1.0,838.0,668.0,170.0,0.778,0.8154,0.7974,5.0,3.0,0.0,0.0,208.0,197.0,162.0,153.0,46.0,44.0,0.779,0.777,2.0,2.0,1.0,0.0,255.0,178.0,221.0,132.0,34.0,46.0,0.8667,0.7417,3.0,1.0,-1.0,0.0
2,Andromeda,Milky Way,Home Win,10,2017,301,13.0,2.0,343.0,270.0,73.0,9.0,2.0,417.0,327.0,90.0,4.0,0.0,22.0,4.0,760.0,597.0,163.0,0.787,0.784,0.7856,7.0,6.0,2.0,0.0,230.0,113.0,189.0,81.0,41.0,32.0,0.822,0.717,6.0,3.0,2.0,0.0,249.0,168.0,197.0,130.0,52.0,38.0,0.791,0.774,1.0,3.0,0.0,0.0
2,Andromeda,Triangulum,Home Win,1,2018,16,15.0,4.0,527.0,441.0,86.0,9.0,0.0,398.0,302.0,96.0,6.0,4.0,24.0,4.0,925.0,743.0,182.0,0.837,0.759,0.803,7.0,8.0,2.0,2.0,253.0,274.0,212.0,229.0,41.0,45.0,0.838,0.836,2.0,7.0,0.0,0.0,219.0,179.0,178.0,124.0,41.0,55.0,0.813,0.693,5.0,1.0,2.0,2.0
2,Cigar,Andromeda,Home Win,6,2018,153,9.0,2.0,488.0,392.0,96.0,11.0,5.0,466.0,352.0,114.0,-2.0,-3.0,20.0,7.0,954.0,744.0,210.0,0.803,0.7554,0.78,4.0,5.0,0.0,2.0,236.0,252.0,182.0,210.0,54.0,42.0,0.771,0.8335,8.0,3.0,4.0,1.0,233.0,233.0,174.0,178.0,59.0,55.0,0.7466,0.764,-4.0,2.0,-4.0,1.0
2,Cartwheel,Andromeda,Home Win,1,2018,24,8.0,2.0,550.0,453.0,97.0,6.0,3.0,393.0,302.0,91.0,2.0,-1.0,14.0,5.0,943.0,755.0,188.0,0.8237,0.7686,0.801,4.0,4.0,2.0,0.0,321.0,229.0,276.0,177.0,45.0,52.0,0.86,0.773,3.0,3.0,1.0,2.0,222.0,171.0,181.0,121.0,41.0,50.0,0.8154,0.7075,1.0,1.0,1.0,-2.0
2,Sunflower,Andromeda,Draw,11,2017,332,12.0,4.0,730.0,643.0,87.0,10.0,1.0,348.0,268.0,80.0,2.0,3.0,22.0,5.0,1078.0,911.0,167.0,0.881,0.77,0.845,6.0,6.0,1.0,3.0,430.0,300.0,385.0,258.0,45.0,42.0,0.8955,0.86,3.0,7.0,0.0,1.0,187.0,161.0,149.0,119.0,38.0,42.0,0.797,0.7393,3.0,-1.0,1.0,2.0
2,Comet,Andromeda,Home Win,5,2018,132,8.0,2.0,252.0,165.0,87.0,9.0,1.0,497.0,382.0,115.0,-1.0,1.0,17.0,3.0,749.0,547.0,202.0,0.655,0.7686,0.7305,4.0,4.0,1.0,1.0,145.0,107.0,99.0,66.0,46.0,41.0,0.6826,0.6167,2.0,7.0,0.0,1.0,222.0,275.0,169.0,213.0,53.0,62.0,0.761,0.7744,2.0,-3.0,1.0,0.0
2,Tadpole,Andromeda,Draw,4,2018,93,11.0,2.0,414.0,335.0,79.0,3.0,0.0,354.0,270.0,84.0,8.0,2.0,14.0,2.0,768.0,605.0,163.0,0.809,0.7627,0.7876,5.0,6.0,1.0,1.0,201.0,213.0,157.0,178.0,44.0,35.0,0.7812,0.8354,0.0,3.0,0.0,0.0,224.0,130.0,176.0,94.0,48.0,36.0,0.7856,0.723,5.0,3.0,1.0,1.0
2,Andromeda,Cigar,Draw,11,2017,325,6.0,4.0,481.0,394.0,87.0,9.0,2.0,502.0,407.0,95.0,-3.0,2.0,15.0,6.0,983.0,801.0,182.0,0.8193,0.8105,0.815,5.0,1.0,3.0,1.0,283.0,198.0,235.0,159.0,48.0,39.0,0.8306,0.803,3.0,6.0,2.0,0.0,238.0,264.0,187.0,220.0,51.0,44.0,0.7856,0.8335,2.0,-5.0,1.0,1.0
2,Fireworks,Andromeda,Away win,2,2018,43,5.0,2.0,553.0,445.0,108.0,8.0,4.0,453.0,369.0,84.0,-3.0,-2.0,13.0,6.0,1006.0,814.0,192.0,0.8047,0.8145,0.809,2.0,3.0,1.0,1.0,227.0,326.0,174.0,271.0,53.0,55.0,0.7666,0.831,5.0,3.0,3.0,1.0,296.0,157.0,255.0,114.0,41.0,43.0,0.8613,0.726,-3.0,0.0,-2.0,0.0
2,Medusa Merger,Andromeda,Draw,4,2018,118,7.0,3.0,572.0,480.0,92.0,7.0,3.0,353.0,247.0,106.0,0.0,0.0,14.0,6.0,925.0,727.0,198.0,0.8394,0.6997,0.786,2.0,5.0,0.0,3.0,316.0,256.0,269.0,211.0,47.0,45.0,0.851,0.824,3.0,4.0,1.0,2.0,167.0,186.0,121.0,126.0,46.0,60.0,0.7246,0.6772,-1.0,1.0,-1.0,1.0
2,Milky Way,Andromeda,Away win,4,2018,111,8.0,4.0,580.0,487.0,93.0,5.0,1.0,336.0,269.0,67.0,3.0,3.0,13.0,5.0,916.0,756.0,160.0,0.84,0.801,0.825,3.0,5.0,3.0,1.0,248.0,332.0,211.0,276.0,37.0,56.0,0.8506,0.8315,2.0,3.0,1.0,0.0,209.0,127.0,180.0,89.0,29.0,38.0,0.8613,0.7007,1.0,2.0,2.0,1.0
1,Antennae,Backward,Draw,8,2017,227,8.0,1.0,339.0,261.0,78.0,9.0,4.0,361.0,280.0,81.0,-1.0,-3.0,17.0,5.0,700.0,541.0,159.0,0.77,0.7754,0.773,4.0,4.0,0.0,1.0,224.0,115.0,178.0,83.0,46.0,32.0,0.7944,0.7217,5.0,4.0,2.0,2.0,191.0,170.0,149.0,131.0,42.0,39.0,0.7803,0.7705,-1.0,0.0,-2.0,-1.0
1,Antennae,Circinus,Away win,11,2016,314,12.0,3.0,480.0,371.0,109.0,9.0,1.0,531.0,440.0,91.0,3.0,2.0,21.0,4.0,1011.0,811.0,200.0,0.773,0.8286,0.8022,4.0,8.0,1.0,2.0,216.0,264.0,169.0,202.0,47.0,62.0,0.782,0.765,7.0,2.0,1.0,0.0,317.0,214.0,277.0,163.0,40.0,51.0,0.874,0.7617,-3.0,6.0,0.0,2.0
1,Antennae,Coma Pinwheel,Home Win,8,2017,241,6.0,2.0,298.0,214.0,84.0,12.0,4.0,689.0,596.0,93.0,-6.0,-2.0,18.0,6.0,987.0,810.0,177.0,0.7183,0.865,0.821,4.0,2.0,1.0,1.0,153.0,145.0,109.0,105.0,44.0,40.0,0.7124,0.724,6.0,6.0,1.0,3.0,355.0,334.0,311.0,285.0,44.0,49.0,0.876,0.8535,-2.0,-4.0,0.0,-2.0
1,Antennae,Comet,Draw,12,2016,336,6.0,2.0,358.0,256.0,102.0,11.0,2.0,428.0,320.0,108.0,-5.0,0.0,17.0,4.0,786.0,576.0,210.0,0.715,0.7476,0.733,6.0,0.0,2.0,0.0,183.0,175.0,137.0,119.0,46.0,56.0,0.7485,0.68,4.0,7.0,0.0,2.0,201.0,227.0,152.0,168.0,49.0,59.0,0.7563,0.74,2.0,-7.0,2.0,-2.0
1,Antennae,Eye of Sauron,Home Win,2,2017,33,14.0,1.0,566.0,490.0,76.0,7.0,3.0,417.0,334.0,83.0,7.0,-2.0,21.0,4.0,983.0,824.0,159.0,0.8657,0.801,0.8384,5.0,9.0,1.0,0.0,300.0,266.0,268.0,222.0,32.0,44.0,0.8936,0.8345,2.0,5.0,1.0,2.0,183.0,234.0,154.0,180.0,29.0,54.0,0.8413,0.769,3.0,4.0,0.0,-2.0
1,Antennae,Fireworks,Home Win,11,2016,311,7.0,3.0,334.0,232.0,102.0,7.0,2.0,657.0,535.0,122.0,0.0,1.0,14.0,5.0,991.0,767.0,224.0,0.695,0.8145,0.774,5.0,2.0,2.0,1.0,157.0,177.0,110.0,122.0,47.0,55.0,0.7007,0.6895,2.0,5.0,0.0,2.0,317.0,340.0,263.0,272.0,54.0,68.0,0.8296,0.8,3.0,-3.0,2.0,-1.0
1,Antennae,Medusa Merger,Away win,1,2017,4,11.0,2.0,356.0,282.0,74.0,5.0,3.0,481.0,414.0,67.0,6.0,-1.0,16.0,5.0,837.0,696.0,141.0,0.792,0.861,0.8315,6.0,5.0,2.0,0.0,198.0,158.0,155.0,127.0,43.0,31.0,0.7827,0.8037,3.0,2.0,3.0,0.0,195.0,286.0,163.0,251.0,32.0,35.0,0.836,0.8774,3.0,3.0,-1.0,0.0
1,Antennae,Milky Way,Away win,1,2017,12,15.0,3.0,524.0,424.0,100.0,7.0,3.0,391.0,304.0,87.0,8.0,0.0,22.0,6.0,915.0,728.0,187.0,0.809,0.7773,0.7954,3.0,12.0,1.0,2.0,219.0,305.0,172.0,252.0,47.0,53.0,0.785,0.826,5.0,2.0,3.0,0.0,216.0,175.0,176.0,128.0,40.0,47.0,0.815,0.7314,-2.0,10.0,-2.0,2.0
1,Backward,Antennae,Away win,10,2016,301,19.0,6.0,478.0,403.0,75.0,11.0,2.0,301.0,226.0,75.0,8.0,4.0,30.0,8.0,779.0,629.0,150.0,0.8433,0.751,0.8076,8.0,11.0,2.0,4.0,233.0,245.0,199.0,204.0,34.0,41.0,0.854,0.8325,5.0,6.0,1.0,1.0,196.0,105.0,155.0,71.0,41.0,34.0,0.791,0.6763,3.0,5.0,1.0,3.0
1,Butterfly,Antennae,Home Win,8,2017,233,6.0,2.0,556.0,463.0,93.0,8.0,1.0,356.0,264.0,92.0,-2.0,1.0,14.0,3.0,912.0,727.0,185.0,0.8325,0.7417,0.7974,1.0,5.0,0.0,2.0,286.0,270.0,243.0,220.0,43.0,50.0,0.8496,0.815,4.0,4.0,1.0,0.0,172.0,184.0,134.0,130.0,38.0,54.0,0.7793,0.7065,-3.0,1.0,-1.0,2.0
1,Cartwheel,Antennae,Draw,1,2017,8,11.0,4.0,813.0,717.0,96.0,6.0,3.0,331.0,240.0,91.0,5.0,1.0,17.0,7.0,1144.0,957.0,187.0,0.882,0.725,0.8364,1.0,10.0,1.0,3.0,361.0,452.0,308.0,409.0,53.0,43.0,0.853,0.905,5.0,1.0,2.0,1.0,195.0,136.0,145.0,95.0,50.0,41.0,0.7437,0.6987,-4.0,9.0,-1.0,2.0
1,Sculptor,Antennae,Away win,12,2016,357,14.0,2.0,499.0,416.0,83.0,12.0,3.0,365.0,275.0,90.0,2.0,-1.0,26.0,5.0,864.0,691.0,173.0,0.8335,0.7534,0.8,8.0,6.0,1.0,1.0,266.0,233.0,229.0,187.0,37.0,46.0,0.861,0.8027,7.0,5.0,1.0,2.0,175.0,190.0,133.0,142.0,42.0,48.0,0.76,0.7476,1.0,1.0,0.0,-1.0
1,Cigar,Antennae,Away win,3,2017,66,8.0,1.0,485.0,393.0,92.0,6.0,1.0,318.0,224.0,94.0,2.0,0.0,14.0,2.0,803.0,617.0,186.0,0.8105,0.7046,0.7686,1.0,7.0,0.0,1.0,264.0,221.0,218.0,175.0,46.0,46.0,0.8257,0.792,3.0,3.0,0.0,1.0,204.0,114.0,155.0,69.0,49.0,45.0,0.76,0.6055,-2.0,4.0,0.0,0.0
1,Circinus,Antennae,Home Win,2,2017,59,8.0,0.0,470.0,362.0,108.0,10.0,4.0,519.0,394.0,125.0,-2.0,-4.0,18.0,4.0,989.0,756.0,233.0,0.77,0.7593,0.7646,6.0,2.0,0.0,0.0,276.0,194.0,220.0,142.0,56.0,52.0,0.797,0.732,4.0,6.0,0.0,4.0,263.0,256.0,200.0,194.0,63.0,62.0,0.7603,0.758,2.0,-4.0,0.0,-4.0
1,Coma Pinwheel,Antennae,Draw,12,2016,342,11.0,3.0,577.0,491.0,86.0,18.0,3.0,392.0,304.0,88.0,-7.0,0.0,29.0,6.0,969.0,795.0,174.0,0.851,0.7754,0.8203,5.0,6.0,0.0,3.0,321.0,256.0,276.0,215.0,45.0,41.0,0.86,0.84,9.0,9.0,2.0,1.0,208.0,184.0,158.0,146.0,50.0,38.0,0.76,0.7935,-4.0,-3.0,-2.0,2.0
